               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07832,            0.021905,                   0,           0.0033333,             0.36364,           0.0096118,           0.0039017,            0.045345,            0.013781,                   0,              0.0901,              0.0011,              0.0011
                   1,            0.059424,            0.019495,                   0,           0.0035897,             0.63636,            0.042441,             0.02132,            0.038256,            0.013446,                   0,             0.07929,           0.0022897,           0.0022897
                   2,            0.048832,            0.016653,                   0,           0.0037037,             0.90909,             0.23664,             0.10241,            0.029579,            0.013051,                   0,            0.068469,           0.0034685,           0.0034685
                   3,            0.053888,            0.024614,                   0,            0.015616,             0.95455,             0.47941,             0.20544,            0.028227,            0.011771,                   0,            0.057637,           0.0046365,           0.0046365
                   4,            0.047589,            0.020186,                   0,             0.19159,             0.72727,             0.39593,             0.13595,            0.033819,           0.0097643,                   0,            0.046794,           0.0057938,           0.0057938
                   5,            0.040822,            0.015803,                   0,             0.27861,             0.54545,             0.28703,             0.12929,            0.034938,           0.0085031,                   0,             0.03594,           0.0069402,           0.0069402
                   6,            0.042922,            0.012995,                   0,             0.23969,             0.59091,              0.2848,             0.11834,            0.032299,           0.0080517,                   0,            0.025076,           0.0080759,           0.0080759
                   7,             0.03196,            0.009384,                   0,             0.34306,             0.63636,             0.37471,              0.1798,            0.029161,           0.0078298,                   0,            0.014201,           0.0092007,           0.0092007
                   8,            0.036493,            0.011456,                   0,             0.43843,             0.40909,             0.41046,             0.19306,            0.032509,           0.0070679,                   0,             0.00964,             0.00964,             0.00964
                   9,            0.043325,            0.014548,                   0,             0.48452,             0.38517,             0.39646,             0.18968,            0.028261,           0.0071993,                   0,             0.00964,             0.00964,             0.00964
                  10,            0.035918,             0.01555,                   0,             0.18947,              0.1177,             0.26989,             0.12679,            0.031574,           0.0064359,                   0,            0.009595,            0.009595,            0.009595
                  11,            0.044856,            0.013826,                   0,             0.11612,            0.090909,             0.19803,            0.082924,            0.028576,           0.0068527,                   0,             0.00955,             0.00955,             0.00955
                  12,             0.04887,            0.018886,                   0,             0.18654,               0.438,              0.1485,            0.063638,             0.03268,           0.0064692,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.036352,            0.012235,                   0,             0.13787,             0.31818,             0.12875,            0.054327,            0.026456,            0.007261,                   0,             0.00946,             0.00946,             0.00946
                  14,             0.03006,           0.0073358,                   0,             0.23167,             0.40909,              0.2664,             0.09242,            0.028671,           0.0069752,                   0,            0.009415,            0.009415,            0.009415
                  15,            0.037231,            0.016651,                   0,             0.26309,             0.36364,             0.28964,             0.12572,            0.025905,           0.0071265,                   0,             0.00937,             0.00937,             0.00937
                  16,            0.037748,            0.017443,                   0,              0.1763,             0.36364,             0.22169,            0.068187,            0.029583,           0.0069685,                   0,            0.009325,            0.009325,            0.009325
                  17,            0.036393,            0.011079,                   0,             0.17448,             0.36364,             0.17935,            0.091487,            0.024635,           0.0073268,                   0,             0.00928,             0.00928,             0.00928
                  18,              0.0374,            0.014896,                   0,             0.26141,             0.56329,             0.25975,             0.11077,            0.030531,           0.0062511,                   0,            0.009235,            0.009235,            0.009235
                  19,            0.033988,            0.010374,                   0,             0.32274,             0.65004,             0.37826,             0.17458,            0.025142,           0.0065131,                   0,             0.00919,             0.00919,             0.00919
                  20,            0.030167,            0.010662,                   0,             0.31411,             0.59091,              0.3305,             0.16688,            0.025504,           0.0064062,                   0,            0.009145,            0.009145,            0.009145
                  21,            0.025701,           0.0075174,                   0,             0.27842,             0.45455,             0.38002,             0.15929,            0.025733,           0.0062746,                   0,              0.0091,              0.0091,              0.0091
                  22,             0.03024,            0.011293,                   0,             0.35832,              0.6346,              0.4729,             0.21743,            0.019162,           0.0065574,                   0,            0.009055,            0.009055,            0.009055
                  23,            0.030348,            0.014376,                   0,             0.25992,                 0.5,             0.45672,             0.22461,            0.019894,           0.0063594,                   0,             0.00901,             0.00901,             0.00901
                  24,            0.023758,           0.0077988,                   0,             0.39917,             0.63423,             0.42386,             0.18333,            0.021358,           0.0061352,                   0,            0.008965,            0.008965,            0.008965
